DesplazamientoBala,VelocidadBala,EstatusAire
-34,-451,0
-650,-381,0
-650,-381,0
-638,-381,0
-625,-381,0
-612,-381,0
-600,-381,0
-587,-381,0
-574,-381,0
-562,-381,1
-549,-381,1
-536,-381,1
-523,-381,1
-511,-381,1
-498,-381,1
-485,-381,1
-473,-381,1
-460,-381,1
-447,-381,1
-435,-381,1
-422,-381,1
-409,-381,1
-396,-381,1
-384,-381,1
-371,-381,1
-358,-381,1
-346,-381,1
-333,-381,1
-320,-381,0
-308,-381,0
-295,-381,0
-282,-381,0
-269,-381,0
-257,-381,0
-244,-381,0
-231,-381,0
-219,-381,0
-206,-381,0
-193,-381,0
-181,-381,0
-168,-381,0
-155,-381,0
-142,-381,0
-130,-381,0
-117,-381,1
-104,-381,1
-92,-381,1
-79,-381,1
-66,-381,1
-54,-381,1
-41,-381,1
-28,-381,1
-15,-381,1
-3,-381,1
10,-381,1
23,-381,1
35,-381,1
48,-381,1
50,-381,1
-650,-694,1
-650,-694,1
-627,-694,1
-604,-694,1
-581,-694,1
-558,-694,1
-535,-694,1
-512,-694,0
-489,-694,0
-465,-694,0
-442,-694,0
-419,-694,0
-396,-694,0
-373,-694,0
-350,-694,0
-327,-694,0
-304,-694,0
-280,-694,0
-257,-694,0
-234,-694,0
-211,-694,0
-188,-694,0
-165,-694,1
-142,-694,1
-118,-694,1
-95,-694,1
-72,-694,1
-49,-694,1
-26,-694,1
-3,-694,1
20,-694,1
43,-694,1
50,-694,1
-650,-685,1
-650,-685,1
-628,-685,1
-605,-685,1
-582,-685,1
-559,-685,1
-536,-685,1
-513,-685,1
-491,-685,1
-468,-685,0
-445,-685,0
-422,-685,0
-399,-685,0
-376,-685,0
-354,-685,0
-331,-685,0
-308,-685,0
-285,-685,0
-262,-685,0
-239,-685,0
-217,-685,1
-194,-685,1
-171,-685,1
-148,-685,1
-125,-685,1
-102,-685,1
-80,-685,1
-57,-685,1
-34,-685,1
-11,-685,1
12,-685,1
35,-685,1
50,-685,1
-650,-468,1
-650,-468,1
-635,-468,1
-619,-468,1
-604,-468,1
-588,-468,1
-572,-468,1
-557,-468,1
-541,-468,0
-526,-468,0
-510,-468,0
-494,-468,0
-479,-468,0
-463,-468,0
-448,-468,0
-432,-468,0
-416,-468,0
-401,-468,0
-385,-468,0
-370,-468,0
-354,-468,0
-338,-468,0
-323,-468,0
-307,-468,0
-292,-468,0
-276,-468,0
-260,-468,0
-245,-468,0
-229,-468,0
-214,-468,0
-198,-468,0
-182,-468,0
-167,-468,1
-151,-468,1
-136,-468,1
-120,-468,1
-104,-468,1
-89,-468,1
-73,-468,1
-58,-468,1
-42,-468,1
-26,-468,1
-11,-468,1
5,-468,1
20,-468,1
36,-468,1
50,-468,1
-650,-566,1
-650,-566,1
-632,-566,1
-613,-566,1
-594,-566,1
-575,-566,1
-556,-566,1
-537,-566,0
-518,-566,0
-500,-566,0
-481,-566,0
-462,-566,0
-443,-566,0
-424,-566,0
-405,-566,0
-386,-566,0
-367,-566,0
-349,-566,0
-330,-566,0
-311,-566,0
-292,-566,0
-273,-566,0
-254,-566,0
-235,-566,0
-217,-566,0
-198,-566,1
-179,-566,1
-160,-566,1
-141,-566,1
-122,-566,1
-103,-566,1
-84,-566,1
-66,-566,1
-47,-566,1
-28,-566,1
-9,-566,1
10,-566,1
29,-566,1
48,-566,1
50,-566,1
-650,-418,1
-650,-418,1
-637,-418,1
-623,-418,1
-609,-418,1
-595,-418,1
-581,-418,1
-567,-418,0
-553,-418,0
-539,-418,0
-525,-418,0
-511,-418,0
-497,-418,0
-483,-418,0
-469,-418,0
-455,-418,0
-442,-418,0
-428,-418,0
-414,-418,0
-400,-418,0
-386,-418,0
-372,-418,0
-358,-418,0
-344,-418,0
-330,-418,0
-316,-418,0
-302,-418,0
-288,-418,0
-274,-418,0
-260,-418,0
-246,-418,0
-233,-418,0
-219,-418,0
-205,-418,0
-191,-418,0
-177,-418,0
-163,-418,0
-149,-418,0
-135,-418,0
-121,-418,1
-107,-418,1
-93,-418,1
-79,-418,1
-65,-418,1
-51,-418,1
-37,-418,1
-24,-418,1
-10,-418,1
4,-418,1
18,-418,1
32,-418,1
46,-418,1
50,-418,1
-650,-732,1
-650,-732,1
-626,-732,1
-602,-732,1
-577,-732,1
-553,-732,1
-529,-732,1
-504,-732,1
-480,-732,0
-455,-732,0
-431,-732,0
-407,-732,0
-382,-732,0
-358,-732,0
-333,-732,0
-309,-732,0
-285,-732,0
-260,-732,0
-236,-732,0
-211,-732,0
-187,-732,0
-163,-732,0
-138,-732,0
-114,-732,0
-89,-732,1
-65,-732,1
-41,-732,1
-16,-732,1
8,-732,1
33,-732,1
50,-732,1
-650,-470,1
-650,-470,1
-635,-470,1
-619,-470,1
-604,-470,1
-588,-470,1
-572,-470,1
-557,-470,1
-541,-470,0
-525,-470,0
-510,-470,0
-494,-470,0
-478,-470,0
-463,-470,0
-447,-470,0
-431,-470,0
-416,-470,0
-400,-470,0
-384,-470,0
-369,-470,0
-353,-470,0
-337,-470,0
-322,-470,0
-306,-470,0
-290,-470,0
-275,-470,0
-259,-470,0
-243,-470,0
-228,-470,0
-212,-470,0
-196,-470,0
-181,-470,0
-165,-470,0
-149,-470,0
-134,-470,0
-118,-470,1
-102,-470,1
-87,-470,1
-71,-470,1
-55,-470,1
-40,-470,1
-24,-470,1
-8,-470,1
7,-470,1
23,-470,1
39,-470,1
50,-470,1
-650,-329,1
-650,-329,1
-640,-329,1
-629,-329,1
-618,-329,1
-607,-329,1
-596,-329,1
-585,-329,1
-574,-329,0
-563,-329,0
-552,-329,0
-541,-329,0
-530,-329,0
-519,-329,0
-508,-329,0
-497,-329,0
-486,-329,0
-475,-329,0
-464,-329,0
-453,-329,0
-442,-329,0
-431,-329,0
-420,-329,0
-409,-329,0
-398,-329,0
-387,-329,0
-376,-329,0
-365,-329,0
-354,-329,0
-343,-329,0
-332,-329,0
-321,-329,0
-311,-329,0
-300,-329,0
-289,-329,0
-278,-329,0
-267,-329,0
-256,-329,0
-245,-329,0
-234,-329,0
-223,-329,0
-212,-329,0
-201,-329,0
-190,-329,0
-179,-329,0
-168,-329,0
