Title,View,Date,Thumbs_up,YouTuber,Subscribers,Description,Comment_count,Author,Comment_date,Comment,Comment_likes
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @moisesfernandez6690
            
          ",2024-09-13,Bueno ya aprobaron la reforma judicial y van a cambiar muchas cosas espero y también cambien la política del seguro social. Esta pésima..que saquen a todas esas personas que. No sirven para nada,"
    84
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @rafabc3122
            
          ",2024-09-13,El cambio siempre causa incertidumbre pero el quitar privilegios y el nepotismo en este poder es un buen inicio ahora la imparticion de justicia se vera con el tiempo.,"
    114
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @victormanuelsanchezsanchez9981
            
          ",2024-10-13,Que la siguiente reforma sea a las fiscalias qué están llenas de corrupción,"
    58
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @marhaiislas4935
            
          ",2024-10-13,"En las fiscalías también esta la corrupción e impunidad, se necesita reformar las fiscalías","
    25
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @FelixJuarez-q6y
            
          ",2024-10-13,La avasallante mayoria de los mexicanos apoyamos y celebramos la aprobacion de la reforma. Viva el pueblo mexicano!,"
    36
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @Toph-ka
            
          ",2024-10-13,"Prácticamente estan empinando a los de arriba que no hacen nada por el pueblo, solo se sirven de el, cual es el problema o que tiene de malo eso?","
    21
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @marypazcolin5813
            
          ",2024-10-13,"Posiblemente no, no  reduzca la corrupción, pero por lo menos quitará los excesivos lujos y sueldo que tenían los ministros. Ya es ganancia.","
    19
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @davidrds1171
            
          ",2024-09-13,Esto es lo más democrático que pueda existir en el mundo,"
    25
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @cafeteriasaludable5147
            
          ",2024-09-13,"Felicidades a todos los mexicanos 

Enhorabuena!!!!
Es un hecho la reforma al poder judicial ","
    23
  "
"
      ¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos
    ","64,591 views","Premiered Sep 12, 2024","1,082",El Heraldo de México,2.48M subscribers,"¡Ya la aprobaron! ¿En qué consiste la Reforma al Poder Judicial? | Te lo explicamos

Luego de horas de discusión, el Senado aprobó la reforma al Poder Judicial, esto ha provocado mucha incertidumbre entre la gente, y muchos se preguntan en qué consiste. 

Para conocer más sobre esta nueva reforma, te explicamos los puntos claves que conforman esta modificación y los artículos de la constitución que serán modificados tras dicha aprobación. 

Más información en: https://heraldodemexico.com.mx/

¡Síguenos en nuestras redes sociales para estar enterado de todo!

FB:   / elheraldodemexico  
TW:   / heraldodemexico  
IG:   / elheraldodemexico  ",276,"
            
              @marcocabrera3467
            
          ",2024-10-13,Aplausos.,"
    9
  "
