Keyword,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",José Luis Gargurevich,https://x.com/guerogarguero,guerogarguero,False,2024-06-01 17:55:34+00:00,False,"De cara a los contrapesos, saludo que @SGP_PCM se pronuncie para recordarle a la @SuneduPeru que sí es parte del Poder Ekecutivo y que su autonomía no es autarquía

Si lo permitiéramos, el Congreso podría crear Organismos Autónomos sin tocar la Constitución

En @larepublica_pe https://t.co/Cm7o7W3RlM",1796963817655505370,0,8,15,453,0,https://pbs.twimg.com/media/GPAZAORXYAEaJVU.jpg;https://pbs.twimg.com/media/GPAZAOTWwAAbqaw.jpg,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",FernandoVazquez,https://x.com/FernandoV33666,FernandoV33666,False,2024-06-01 22:27:19+00:00,False,"Mexicanos no podemos permitir que nuestro México esté en riesgo, salgamos a votar,  recuperemos la DEMOCRACIA, la Libertad la seguridad, la salud, y defendamos a la SCJN así como a organismos autónomos, VOTEMOS por MÉXICO votemos x XOCHITL y candidatos del PRI PAN y PRD https://t.co/vAysFDeVsc",1797032203701961007,0,0,0,26,0,https://pbs.twimg.com/ext_tw_video_thumb/1797031568000569344/pu/img/KPD8oJm4OrR1F6aO.jpg,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",René del Valle B. La Aldea (de la Información),https://x.com/renedelvalleb,renedelvalleb,False,2024-06-01 12:52:46+00:00,False,"OPINIÓN/
La incertidumbre de la burocracia veracruzana

Por JOSÉ LUIS ENRÍQUEZ AMBELL

La comunidad de los servidores públicos en Veracruz - municipal, estatal, federal y los organismos autónomos - ligada al régimen en el poder, expresan mal estar, mal hu

https://t.co/wfm9DlwtoS https://t.co/6FmpBOYzeJ",1796887615536312619,0,0,1,20,0,https://pbs.twimg.com/media/GO_Tw12WgAAZmgR.jpg,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",Ricardo VásquezKunze,https://x.com/realRVKunze,realRVKunze,False,2024-06-01 01:27:38+00:00,False,La constitución está pintada en la pared. Los poderes y organismos autónomos se entrometen en las esferas de los otros sin ningún pudor en una guerra de todos contra todos. Así tenemos una república con división de poderes en el papel https://t.co/GqgRvUTLJ0,1796715193004699891,2,2,5,472,0,,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",Cami Moreno,https://x.com/Cami_lmoreno,Cami_lmoreno,False,2024-06-01 00:53:52+00:00,False,"@kxxrlatrejo No es porque Xóchitl sea una buena opción para cambiar a México y convertirlo en primer mundo, obvio no, es la esperanza para proteger al congreso y con ello a la constitución, a los organismos autónomos y a la división de poderes. Morena quiere todo el poder y lo debemos evitar.",1796706697274392736,4,7,83,8807,3,,True,kxxrlatrejo,https://x.com/kxxrlatrejo,karla con k,kxxrlatrejo,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",Kari 🍂,https://x.com/_vapor_trail,_vapor_trail,False,2024-06-01 03:06:14+00:00,False,"A mí sí me da tristeza que no valoren el trabajo que hacen los organismos autónomos como el INE y el INEGI 🥺 

Aparte de que emplean a un buen de población, su labor es siempre apartidista.",1796740008872927500,0,1,3,114,0,,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",Cami Moreno,https://x.com/Cami_lmoreno,Cami_lmoreno,False,2024-06-01 20:33:58+00:00,False,"Justo porque estudio derecho tengo miedo de que tengan el poder de hacer con nuestra Constitución un papalote, destruir a los organismos autónomos y pasar por alto la división de poderes",1797003679385686265,0,0,1,227,0,,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",Triana León,https://x.com/triana_lg,triana_lg,False,2024-06-01 02:54:17+00:00,False,"Prefiero votar por los corruptos que dieron pie y permitieron la creación de los organismos autónomos de libertad, democracia y transparencia, que por los corruptos que los quieren desaparecer.
#EleccionesMéxico2024",1796736999665099086,0,0,0,13,0,,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",MIGUEL NAVA,https://x.com/MIGUELNAVA13150,MIGUELNAVA13150,False,2024-06-01 16:08:19+00:00,False,"Porque continuará con la división entre mexicanos, abrazos a los delincuentes y toma de todos los organismos autónomos,.. un peligro para la democracia  #PorQuéNOVotaréPorClaudia",1796936825178636649,0,0,2,14,0,,False,,,,,es
organismos autonomos,"https://x.com/search?q=""organismos autonomos"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",joseklinsmann,https://x.com/Elpoettt,Elpoettt,False,2024-06-01 07:03:05+00:00,False,"@OrtegaPalo @elcerebrohabla @sofianosabia Te tengo que recordar como inician las dictaduras? Comienzan haciendo cambios en la constitución destruyendo organismos autónomos mediante reformas que se tienen que aprobar con mayoría calificativa en la cámara de diputados, reformas que morena metio, pero que no pudo finiquitar",1796799612109672698,2,2,38,726,1,,True,OrtegaPalo,https://x.com/OrtegaPalo,Paloma Ortega,OrtegaPalo,es
