Keyword,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-02 since:2024-06-01&src=typed_query",🐞 Monaliza 🐞,https://x.com/MONALI4T,MONALI4T,False,2024-06-01 22:12:47+00:00,False,"#EleccionesMéxico2024 Juez SCJN, con mentiras, ordena bajar Mañanera de López Obrador en donde se menciona corrupción de Xóchitl Gálvez y exhorto a Claudio X. González investigar. El PRI Cancer, Plan C Zurdos reforma Poder Judicial Lárgate! Norma Piña queremos Lenia Batres chaira",1797028548949021108,0,19,14,549,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-07 since:2024-06-06&src=typed_query",Harry Forever,https://x.com/HarryForever007,HarryForever007,False,2024-06-06 12:29:24+00:00,False,"Yo aprovecharia las elecciones del 2025 para que el pueblo vote ademas ciertas cuestiones:
1. Eliminacion de planes a extranjeros
2. Eliminacion de jubilaciones de privilegios
3. Reducir 1/3 cargos de diputados y senadores nacionales  y provinciales
4. Reforma poder judicial",1798693675129806934,0,2,3,48,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-07 since:2024-06-06&src=typed_query",Francisco Valenzuela,https://x.com/FValenzuelaM,FValenzuelaM,False,2024-06-06 21:01:48+00:00,False,"@GunnaryP Me quedo con esto: 
https://t.co/xIrvZz17BX",1798822624375755016,1,0,0,8,0,,True,GunnaryP,https://x.com/GunnaryP,Gunnary Prado,GunnaryP,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-07 since:2024-06-06&src=typed_query",Contramuro,https://x.com/ContramuroM,ContramuroM,False,2024-06-06 23:09:35+00:00,False,"La esperada #Reforma al #PoderJudicial será tema central en el @Mx_Diputados  este septiembre.

https://t.co/uPICaGPwv0",1798854780753977665,0,0,0,16,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",DNF,https://x.com/DNFMexico,DNFMexico,False,2024-06-07 20:08:15+00:00,False,Es que la justicia está por encima de los mercados: Lopez Obrador (Reforma Poder Judicial) https://t.co/0jGioOUiKA,1799171535305097633,0,0,0,37,0,https://pbs.twimg.com/media/GPfw5gtW0AAmaDg.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Uniradio México,https://x.com/uniradiomexico,uniradiomexico,False,2024-06-07 15:41:14+00:00,False,"Reforma al Poder Judicial es la que más provoca agitación en los mercados: AMLO: López Obrador dijo que seguirá la reforma al Poder Judicial, pero ésta se hará de manera ordenada y sin autoritarismos. https://t.co/jJ1efzt1xk https://t.co/TWve6koWeO",1799104335617663038,0,0,0,12,0,https://pbs.twimg.com/media/GPez2-SaMAAiwq4.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Uniradio México,https://x.com/uniradiomexico,uniradiomexico,False,2024-06-07 16:00:37+00:00,False,"""La justicia está por encima de los mercados"": AMLO insiste en reforma al Poder Judicial: Los mercados reaccionaron negativamente al anuncio que Morena buscará sacar adelante el llamado Plan C a partir de septiembre. https://t.co/E1d265ICBK https://t.co/lFNRMgeuso",1799109215644270953,0,0,0,23,0,https://pbs.twimg.com/media/GPe4TFFaoAAQLfn.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Sopitas,https://x.com/sopitas,sopitas,True,2024-06-07 01:01:01+00:00,False,"Morena se alista con su Plan C para hacer un buen de cambios a la Constitución, entre ellos la Reforma al Poder Judicial o la controvertida desaparición de órganos autónomos https://t.co/cZFan5i6Qh https://t.co/aI6LG9bFV4",1798882825418207587,4,5,17,9415,0,https://pbs.twimg.com/media/GPbqZWrXIAALAEP.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Grupo Sin Línea,https://x.com/GrupoSinLinea,GrupoSinLinea,False,2024-06-07 20:00:00+00:00,False,"#AMLO (@lopezobrador_) aseguró que democratizar al #PoderJudicial es la mejor forma de acabar con su corrupción y servilismo 🧓🏼☝🏻👩🏻‍⚖️
https://t.co/4LMbYVEEkM",1799169458256417096,0,1,1,369,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",🐞 Monaliza 🐞,https://x.com/MONALI4T,MONALI4T,False,2024-06-07 23:35:05+00:00,False,"Así de miserable Carlos Alazraki de Atypical 
""Si van en un avión en business y les toca a alguien al lado que dicen puta no me late este cabrón, es de Morena"" 
👁️🇲🇽👁️En Jalisco MEGA FRAUDE de Enrique Alfaro a Claudia Delgadillo y a Pedro Kumamoto. Reforma Poder Judicial SCJN",1799223584285397120,1,12,9,888,2,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Uniradio Informa Baja California,https://x.com/uniradiobaja,uniradiobaja,False,2024-06-07 15:41:04+00:00,False,"Reforma al Poder Judicial es la que más provoca agitación en los mercados: AMLO: López Obrador dijo que seguirá la reforma al Poder Judicial, pero ésta se hará de manera ordenada y sin autoritarismos. https://t.co/tsEuhcAJHd",1799104296904261924,0,0,1,79,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Uniradio Informa Baja California,https://x.com/uniradiobaja,uniradiobaja,False,2024-06-07 16:00:37+00:00,False,"""La justicia está por encima de los mercados"": AMLO insiste en reforma al Poder Judicial: Los mercados reaccionaron negativamente al anuncio que Morena buscará sacar adelante el llamado Plan C a partir de septiembre. https://t.co/C6qj0xaxyq",1799109214264234140,0,0,1,88,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Christian I. R.,https://x.com/carinbo2011,carinbo2011,False,2024-06-07 06:30:21+00:00,False,@CiceronPrez @JLozanoA @NachoMierV Pues qué falta de conocimiento tienes teniendo la mayoría absoluta se aprueba la reforma poder judicial porque por eso le dimos la mayoría no por p******* sino porque es lo primero que queremos que limpien para que gente como ustedes puedan ir a la cárcel como debe de ser,1798965705372778827,0,0,0,16,0,,True,CiceronPrez,https://x.com/CiceronPrez,Pablo Pérez,CiceronPrez,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",NotiPress MX,https://x.com/NotiPressMx,NotiPressMx,True,2024-06-07 16:00:03+00:00,False,"#EnLaMañanera | La propuesta de reforma judicial de AMLO, que busca la elección democrática de jueces y magistrados, ha generado debate y nerviosismo en los mercados
https://t.co/rLYaLXYT3n",1799109072991531477,0,0,1,42,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",cobertura360mx,https://x.com/cobertura360mx,cobertura360mx,False,2024-06-07 16:15:33+00:00,False,"El presidente explicó que estos vaivenes son naturales en el contexto de un proceso electoral.

https://t.co/6QE5hkrwbe",1799112975393100237,0,0,1,38,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Uniradio Informa Sonora,https://x.com/uniradiosonora,uniradiosonora,False,2024-06-07 15:41:11+00:00,False,"Reforma al Poder Judicial es la que más provoca agitación en los mercados: AMLO: López Obrador dijo que seguirá la reforma al Poder Judicial, pero ésta se hará de manera ordenada y sin autoritarismos. https://t.co/onu4vOsf3L",1799104324804685888,0,0,0,113,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Uniradio Informa Sonora,https://x.com/uniradiosonora,uniradiosonora,False,2024-06-07 16:00:37+00:00,False,"""La justicia está por encima de los mercados"": AMLO insiste en reforma al Poder Judicial: Los mercados reaccionaron negativamente al anuncio que Morena buscará sacar adelante el llamado Plan C a partir de septiembre. https://t.co/THrz8mfDIY",1799109214843089245,0,0,0,131,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Periódico AM Noticias,https://x.com/periodicoam,periodicoam,True,2024-06-07 03:00:02+00:00,False,"El grupo parlamentario de Morena confirmó que en septiembre, con la nueva Legislatura en la que obtuvo mayoría, concretará diversas reformas presentadas por AMLO.https://t.co/xcBKYdIoPT",1798912776855048436,0,0,0,521,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Animal Político,https://x.com/Pajaropolitico,Pajaropolitico,True,2024-06-07 16:41:00+00:00,False,"💵@lopezobrador_ habló sobre la depreciación del peso mexicano y la atribuyó a las elecciones del pasado 2 de junio. 

La divisa nacional perdió terreno ante el dólar luego de que Morena anunciara que aprobaría en septiembre el denominado ""plan C"". 
https://t.co/bqGzSKK4gP",1799119379608592573,3,4,12,4886,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-06-08 since:2024-06-07&src=typed_query",Joaquín López-Dóriga,https://x.com/lopezdoriga,lopezdoriga,True,2024-06-07 16:00:01+00:00,False,"López Obrador defendió su propuesta de reforma al Poder Judicial: “En vez de impartir justicia para el pueblo y hacer valer el Estado de Derecho se ha convertido en un poder faccioso al servicio de una minoría”
https://t.co/E9vC3ev5Qb",1799109064410218716,22,8,31,9363,1,,False,,,,,es
